id,video,title,upload_date,channel,views,description,chapters,segments,date_updated
1,-uk7xrIf-m4,"Brikama to Soma | 150km Beautiful Highway Drive in Gambia 2024 | Greenery, Villages, & Clouds Africa",21092024,UCdLwwg5FvjEdsIw1_b0C7GA,3821,"Trans-Gambia Highway Drive in Rainy Season 2024 | Brikama to Soma | 150km of Pure Greenery  Gambia's Trans-Gambia Highway | Beautiful Rainy Drive from Brikama to Soma | Greenery and Clouds  150km Trans-Gambia Highway Drive | Rainy Season | Beautiful Green Villages & Stunning Sky  Brikama to Soma | 150km Highway Drive in Gambia | Greenery, Villages, and Clouds | 2024  Gambia’s Most Beautiful Road: Trans-Gambia Highway in Rainy Season | Brikama to Soma Drive  Stunning Rainy Drive on Trans-Gambia Highway | Brikama to Soma | Greenery & Cloudy Skies  Trans-Gambia Highway 150km Journey | Green Villages and Scenic Clouds | Rainy Season Drive  Exploring Gambia's Trans-Gambia Highway | 150km Rainy Season Drive | Brikama to Soma  Rainy Season Beauty on Trans-Gambia Highway | Brikama to Soma Full Drive | 2024 Updates  Gambia Rainy Season Drive | 150km Trans-Gambia Highway Journey | Beautiful Greenery & Clouds  Description:  Embark on a 150km scenic drive along the Trans-Gambia Highway from Brikama to Soma during the beautiful rainy season of 2024. This video captures the lush green surroundings, picturesque villages, and the mesmerizing cloud-filled sky. The journey takes you through one of Gambia's most beautiful highways, showcasing the country’s natural beauty during the rainy season. Enjoy the peaceful drive, the fresh greenery, and the refreshing rainy atmosphere that brings life to Gambia's landscapes. Perfect for those who love nature and road trip explorations  #Tags:   #TransGambiaHighway #GambiaRainySeason #GreeneryDrive #BrikamaToSoma #GambiaRoadTrip #BeautifulGambia #GambiaHighways #RainyDrive2024 #GambiaVillages #CloudySky #RoadTripVlog #NatureDrive #GambiaDevelopment #TravelGambia #ExploreGambia #RainySeasonExploration #TransGambiaTour",[],20,3062025
2,ID_q1RC_dSo,,,,,,,16,3062025
3,lVMHKECK_kI,Going from Timisoara (Romania) to Sofia (Bulgaria),14052018,UCyw7oIZalTvrDJOsD703U3Q,1979,Road trips over highway or European roads. Get more travel tips and information on http://traveleurope.ro,[],13,3062025
4,XsQuWRGgGNk,DRIVING FROM VORARLBERG (AUSTRIA) to VADUZ (LIECHTENSTEIN) I 4K 60fps,14102021,UCOTltJnsvy8V9ku46nARF6w,25462,"On this unique route, we start from the Alpine part of Western Austria to one of the smallest countries in the world, we cross Liechtenstein and its capital Vaduz and we can observe the tiny extent of this small Alpine country ... surprising !!  First of all, I would like to apologize for the small annoying noises in some parts of the video, I am trying not to repeat them in future videos 🥰🥰🥰  Route: https://goo.gl/maps/xcUBMuxG7Lo5319SA  To fully enjoy viewing, I recommend watching the videos on a 4K screen and setting the YouTube Player (lower wheel) to the maximum quality, 2160p60.  00:00:00 START 00:01:43 RAGGAL 00:10:02 THÜRINGEN 00:11:55 BLUDESCH 00:15:45 SCHLINS 00:23:02 GÖFIS 00:28:44 SCHATTENBURG 00:29:05 FELDKIRCH 00:34:01 BORDER AUSTRIA-LIECHTENSTEIN 00:45:39 VADUZ 00:49:51 REGIERUNGSGEBÄUDE 00:50:53 KUNSTMUSEUM  00:51:26 VADUZ TOWN HALL 00:52:40 LIECHTENSTEIN TREASURY 00:53:01 ST. FLORIN CATHEDRAL  Equipment used for recording: Camera https://amzn.to/3wSYvXU Memory Card https://amzn.to/3rmwIhn Suction Cup https://amzn.to/3wV9kZk External Battery https://amzn.to/3eGGTIA  Don't miss our video in Zurich: https://youtu.be/2obsKLoZQdU  Do you want to know more about me? Come on, follow me!! https://www.instagram.com/just_driving_4k https://www.facebook.com/JustDriving4K https://twitter.com/4k_just  If you like the channel and want to continue watching my routes, subscribe here and leave a comment, I will be happy to answer you 💗💗💗https://www.youtube.com/channel/UCOTltJnsvy8V9ku46nARF6w?sub_confirmation=1","[{'title': 'START', 'timestamp': '0:00:00'}, {'title': 'RAGGAL', 'timestamp': '0:01:43'}, {'title': 'THÜRINGEN', 'timestamp': '0:10:02'}, {'title': 'BLUDESCH', 'timestamp': '0:11:55'}, {'title': 'SCHLINS', 'timestamp': '0:15:45'}, {'title': 'GÖFIS', 'timestamp': '0:23:02'}, {'title': 'SCHATTENBURG', 'timestamp': '0:28:44'}, {'title': 'FELDKIRCH', 'timestamp': '0:29:05'}, {'title': 'BORDER AUSTRIA-LIECHTENSTEIN', 'timestamp': '0:34:01'}, {'title': 'VADUZ', 'timestamp': '0:45:39'}, {'title': 'REGIERUNGSGEBÄUDE', 'timestamp': '0:49:51'}, {'title': 'KUNSTMUSEUM', 'timestamp': '0:50:53'}, {'title': 'VADUZ TOWN HALL', 'timestamp': '0:51:26'}, {'title': 'LIECHTENSTEIN TREASURY', 'timestamp': '0:52:40'}, {'title': 'ST. FLORIN CATHEDRAL', 'timestamp': '0:53:01'}]",12,3062025
5,7NSGFFb_YJs,Italian Riviera 4K - Yachts & Seaside Resorts - Scenic Drive,10072021,UCBcVQr-07MH-p9e2kRTdB3A,375745,"Afternoon drive along the Italian Riviera, from the major seaport city of Genoa (Genova) to the picturesque harbour of Portofino.  Parking for YOUR Superyatch at Portofino is only $75,000 per month! ;) Yachts, cliffs, beaches, colorfully painted resorts, amazing Italian culture, along the Italian coastline.  I love Italian cities (I want to get an electric car or a motorcycle so I can ride in the ZTL) but the coastline is another level! Lots of American popular culture over the past 30 years focused Italy.  And the Italian coastline is a great representation of what makes Italy so great!  Hopefully this video helps until you get to visit in person! Starting Point:  https://goo.gl/maps/foicj9yXZ5biSgmF9 . The Italian Riviera.  As a tourist centre, the Italian Riviera benefits from over 300 days of sunshine per year, and is known for its beaches, colourfully painted towns, natural environment, food, and luxury villas and hotels, as well as for its popular resort facilities, major yachting and cruising areas with several marinas, festivals, golf courses, sailing, rock climbing and scenic views of centuries old farmhouses and cottages.  The Italian Riviera, or Ligurian Riviera, is the narrow coastal strip in Italy which lies between the Ligurian Sea and the mountain chain formed by the Maritime Alps and the Apennines. Longitudinally it extends from the border with France and the French Riviera (or Côte d'Azur) near Ventimiglia (a former customs post) eastwards to Capo Corvo (also known as Punta Bianca) which marks the eastern end of the Gulf of La Spezia and is close to the regional border between Liguria and Tuscany.   The mild climate draws an active tourist trade in the numerous coastal resorts, which include Alassio, Bonassola, Bordighera, Camogli, Cinque Terre, Lerici, Levanto, Noli, Portofino, Porto Venere, Santa Margherita Ligure, Sanremo, San Fruttuoso, and Sestri Levante. It is also known for its historical association with international celebrity and artistic visitors; writers and poets like Percy Bysshe Shelley, Lord Byron, Ezra Pound, and Ernest Hemingway were inspired by the beauty and spirit of the region.  Industries are concentrated in and around Genoa, Savona, and along the shores of the Gulf of La Spezia. Genoa and La Spezia are Italy’s leading shipyards; La Spezia is Italy’s major naval base, and Savona is a major centre of the Italian iron industry. Chemical, textile, and food industries are also important.  A number of streets and palaces in the center of Genoa and the Cinque Terre National Park (which includes Cinque Terre, Portovenere, and the islands Palmaria, Tino and Tinetto) are two of Italy's 55 World Heritage Sites.  https://en.wikipedia.org/wiki/Italian_Riviera  Genoa is the capital of the Italian region of Liguria and the sixth-largest city in Italy.  Genoa has historically been one of the most important ports on the Mediterranean: it is currently the busiest in Italy and in the Mediterranean Sea and twelfth-busiest in the European Union.  Genoa was the capital of one of the most powerful maritime republics for over seven centuries, from the 11th century to 1797. Particularly from the 12th century to the 15th century, the city played a leading role in the commercial trade in Europe, becoming one of the largest naval powers of the continent and considered among the wealthiest cities in the world.  https://en.wikipedia.org/wiki/Genoa  Portofino (Portofin) is an Italian fishing village and holiday resort famous for its picturesque harbour and historical association with celebrity and artistic visitors. It is a comune located in the Metropolitan City of Genoa on the Italian Riviera. The town is clustered around its small harbour, and is known for the colourfully painted buildings that line the shore.  In Popular Culture: - In 1959 Dalida released song ""Love in Portofino"", written by Leo Chiosso and composed by Fred Buscaglione. With lyrics in French and Italian language, it became a hit and was later iconised alongside the village's name. It also spawned several international covers, including Andrea Bocelli's in 2013 which was followed by a concert recorded and issued on DVD. - Portofino is the eponym of Frank Schaeffer's Portofino: A Novel (1992). It was the first of Schaeffer's Calvin Becker Trilogy. - There is a full-scale replica, in authentic detail, of Portofino Bay at Universal Orlando Resort in Orlando, USA, which opened in September 1999. - Portofino inspired in 2001 a recreation of the seaside town in the Mediterranean Harbor area at Tokyo Disney Sea in Chiba, Japan. It also served as the namesake for the restaurant Cafe Portofino. - Portofino was featured in 2008 in the television series Top Gear (Episode 5, Series 12). Richard Hammond, in a Ferrari Daytona raced James May in a carbon fibre powerboat from Portofino to St Tropez in France. - Ferrari named one of their new V8 sports cars after Portofino in 2017.  https://en.wikipedia.org/wiki/Portofino",[],11,3062025
6,UM27EIAsq28,,,,,,,10,3062025
7,KQU0HSiqvXQ,Full Driving Tour Around Tiny Nauru Island - Just 22 Minutes | Lord Of The Flights,5092023,UCDzNmZ0upC18gDDA4axd0vA,559,"✈️ Nauru is a tiny island in Micronesia. When I made my video visiting the worlds 3 smallest countries, I spent four days in Nauru. Given its size it was not hard to explore this tiny nation, so I recorded a full circuit of this island which took just 22 minutes. I hope you enjoy it!  ✈️ About me:  My name is Mark and I am from the UK.  In 2022 I sold my business after fifteen years of hard work and very few holidays. I immediately set out to make sure I enjoyed a well-earned ‘midlife crisis’. As I am too fat to fit in a Porsche, I settled quickly instead on going to the places I have dreamt of visiting, in airplane seats that I can fit in.  I wanted to experience and share the best of First and Business class travel, luxury hotels and interesting destinations without the influence of sponsors or financial reward. I hope my videos will be informative and inspire your own future travels. ✈️ Channel tags - #luxuryhotels #luxurytravel  #nauruisland",[],10,3062025
8,Z0Y1qIWhDU0,Liechtenstein | Drive through the most beautiful villages | 4K,27092022,UCOpfzYU2yx_D4Ve1qJqfyhA,19445,Liechtenstein | Drive through the most beautiful villages Liechtenstein is the 4th smallest country in Europe. The direct neighbors are Switzerland and Austria.  There is no border between Switzerland and Liechtenstein. Liechtenstein has been part of the Swiss economic area since 1923.  Accompany me on a tour (57 km) through wonderful villages in Liechtenstein.  THANK YOU FOR WATCHING MY CHANNEL. Please support my channel by subscribing  00:00  BALZERS 06:18  TRIESEN 11:50  VADUZ 18:42  SCHAAN 25:00  NENDELN 27:14  SCHAANWALD 28:32  MAUREN 33:30  SCHELLENBERG 38:01  RUGGELL 42:41  BENDERN 48:39  SCHAAN 52:48  VADUZ 59:18  TRIESEN 1:04:36  Balzers  INFO LIECHTENSTEIN:  https://www.google.com/maps/place/Liechtenstein,"[{'title': 'BALZERS', 'timestamp': '0:00:00'}, {'title': 'TRIESEN', 'timestamp': '0:06:18'}, {'title': 'VADUZ', 'timestamp': '0:11:50'}, {'title': 'SCHAAN', 'timestamp': '0:18:42'}, {'title': 'NENDELN', 'timestamp': '0:25:00'}, {'title': 'SCHAANWALD', 'timestamp': '0:27:14'}, {'title': 'MAUREN', 'timestamp': '0:28:32'}, {'title': 'SCHELLENBERG', 'timestamp': '0:33:30'}, {'title': 'RUGGELL', 'timestamp': '0:38:01'}, {'title': 'BENDERN', 'timestamp': '0:42:41'}, {'title': 'SCHAAN', 'timestamp': '0:48:39'}, {'title': 'VADUZ', 'timestamp': '0:52:48'}, {'title': 'TRIESEN', 'timestamp': '0:59:18'}, {'title': 'Balzers', 'timestamp': '1:04:36'}]",10,3062025
9,c50dvV6VALQ,Jersey Channel Islands Coastal drive (No Sound),17032019,UCYVw95O41nx7AF1f5S_viJw,3146,,[],9,3062025
10,sJ3kqMsF6gw,4K Liechtenstein Drive | Balzers - Vaduz - Gams (Switzerland),5012024,UC12FUHVhwpC5lMYsMPMbmyg,16033,"The drive starts at the south border to Switzerland,  visits Vaduz, the capital of Liechtenstein, and ends at Gams in Switzerland.  Google Maps route: https://maps.app.goo.gl/MSHTtUHA4Yxi42HNA  00:00 Balzers to Central Vaduz 13:00 Central Vaduz to Nendln 24:42 Nendln to Gams, Switzerland  Date: 2023/7/15 Camera: GH6 + HSA12035 Music: Swans In Flight - Asher Fulero from YouTube Audio Library","[{'title': 'Balzers to Central Vaduz', 'timestamp': '0:00:00'}, {'title': 'Central Vaduz to Nendln', 'timestamp': '0:13:00'}, {'title': 'Nendln to Gams, Switzerland', 'timestamp': '0:24:42'}]",9,3062025
